[2024-04-28 18:36:21.858] [server] [info] server listening on port 6666
[2024-04-28 18:36:26.643] [server] [debug] [server.cpp:request_loop:78] "handling incoming request" Time Taken: 161ns
[2024-04-28 18:36:26.643] [server] [debug] [server.cpp:request_loop:78] "handling incoming request" Time Taken: 61ns
[2024-04-28 18:36:26.644] [server] [debug] [server.cpp:request_loop:78] "handling incoming request" Time Taken: 65ns
[2024-04-28 18:36:26.644] [server] [info] received a connection from 0.0.0.0:0
[2024-04-28 18:36:26.644] [server] [debug] [conn_handler.cpp:operator():77] "sending the full list" Time Taken: 116ns
[2024-04-28 18:36:26.644] [server] [info] received a connection from 0.0.0.0:0
[2024-04-28 18:36:26.644] [server] [debug] [conn_handler.cpp:operator():77] "sending the full list" Time Taken: 77ns
[2024-04-28 18:36:26.644] [server] [debug] [server.cpp:request_loop:78] "handling incoming request" Time Taken: 80ns
[2024-04-28 18:36:26.644] [server] [info] received a connection from 0.0.0.0:0
[2024-04-28 18:36:26.644] [server] [debug] [conn_handler.cpp:operator():77] "sending the full list" Time Taken: 52ns
[2024-04-28 18:36:26.644] [server] [info] received a connection from 0.0.0.0:0
[2024-04-28 18:36:26.644] [server] [debug] [conn_handler.cpp:operator():77] "sending the full list" Time Taken: 102ns
[2024-04-28 18:36:26.644] [server] [debug] [server.cpp:request_loop:78] "handling incoming request" Time Taken: 188ns
[2024-04-28 18:36:26.644] [server] [debug] [server.cpp:request_loop:78] "handling incoming request" Time Taken: 63ns
[2024-04-28 18:36:26.644] [server] [info] received a connection from 0.0.0.0:0
[2024-04-28 18:36:26.644] [server] [debug] [conn_handler.cpp:operator():77] "sending the full list" Time Taken: 83ns
[2024-04-28 18:36:26.644] [server] [debug] [server.cpp:request_loop:78] "handling incoming request" Time Taken: 60ns
[2024-04-28 18:36:26.644] [server] [info] received a connection from 0.0.0.0:0
[2024-04-28 18:36:26.644] [server] [debug] [conn_handler.cpp:operator():77] "sending the full list" Time Taken: 90ns
[2024-04-28 18:36:26.644] [server] [debug] [server.cpp:request_loop:78] "handling incoming request" Time Taken: 60ns
